book_name,author,primary_genre,book_type,number_of_pages,pages_category,first_published_year,book_age,rating,ratings_count,ratings_count_log,votes,votes_log,score
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,Young Adult,Hardcover,374,Medium,2008,17,4.35,9825418,16.100483361120702,43905,10.689806263983868,4318854
Pride and Prejudice,Jane Austen,Classics,Paperback,279,Medium,1813,212,4.29,4762344,15.376250751955705,30399,10.322197887394314,2966459
To Kill a Mockingbird,Harper Lee,Classics,Paperback,323,Medium,1960,65,4.26,6833106,15.737290032940763,26573,10.187688573151252,2602221
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,Fantasy,Hardcover,896,Very Long,2003,22,4.5,3771857,15.143078276215624,21168,9.96029312635758,2080496
The Book Thief,Markus Zusak,Historical Fiction,Kindle,592,Long,2005,20,4.39,2859705,14.866229380309244,20242,9.915564333761576,1970739
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,Fantasy,Paperback,498,Long,2005,20,3.67,7263220,15.798333952323091,17950,9.79540110267107,1760818
Animal Farm,George Orwell,Classics,Mass,141,Short,1945,80,4.02,4505182,15.320739069731175,17752,9.784309794706799,1715357
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,Fantasy,Paperback,767,Long,1956,69,4.28,705079,13.46606655053389,15973,9.678717679477334,1533474
The Fault in Our Stars,John Green,Young Adult,Hardcover,313,Medium,2012,13,4.12,5683397,15.553059851260079,14665,9.593287168653745,1417114
The Picture of Dorian Gray,Oscar Wilde,Classics,Paperback,272,Medium,1890,135,4.13,1858300,14.435173187387841,14265,9.565634362837983,1368049
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,Fantasy,Paperback,377,Medium,2005,20,4.31,3410543,15.042382367327805,13116,9.481664377815147,1256042
Wuthering Heights,Emily Brontë,Classics,Paperback,464,Long,1847,178,3.9,2026356,14.521750157547102,13010,9.473550432503476,1247432
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,Fantasy,Paperback,870,Very Long,2003,22,4.5,3771857,15.143078276215624,12490,9.43276366396591,1213373
Gone with the Wind,Margaret Mitchell,Classics,Mass,1037,Very Long,1936,89,4.31,1254218,14.042023626075338,12305,9.417842227300437,1193003
The Perks of Being a Wallflower,Stephen Chbosky,Young Adult,Hardcover,213,Medium,1999,26,4.24,1988442,14.502862478396308,12379,9.423837546238587,1190076
Jane Eyre,Charlotte Brontë,Classics,Paperback,532,Long,1847,178,4.16,2309013,14.652331151549086,12029,9.395158808968725,1145152
The Great Gatsby,F. Scott Fitzgerald,Classics,Paperback,180,Short,1925,100,3.93,5868403,15.585093263864188,11924,9.386392315756542,1121452
Crime and Punishment,Fyodor Dostoevsky,Classics,Paperback,671,Long,1866,159,4.29,1069140,13.88236608028028,11030,9.308464769969381,1060175
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,Fiction,Paperback,489,Long,2003,22,3.94,2513227,14.737078540623465,10791,9.286560397887591,1026812
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,Classics,Paperback,239,Medium,1871,154,4.06,606934,13.316176980287963,10638,9.272281773516365,1009457
"Divergent (Divergent, #1)",Veronica Roth,Young Adult,Paperback,487,Long,2011,14,4.13,4356223,15.287116185037005,10518,9.260938424739274,1003609
Les Misérables,Victor Hugo,Classics,Mass,1463,Very Long,1862,163,4.21,840691,13.641980641198488,10172,9.227492430793749,968746
Memoirs of a Geisha,Arthur Golden,Fiction,Mass,503,Long,1997,28,4.16,2103692,14.559204929645938,10088,9.219201000408379,968383
The Alchemist,Paulo Coelho,Fiction,Paperback,197,Short,1988,37,3.92,3537243,15.07885845082381,10027,9.213136459278184,960253
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,Classics,Mass,320,Medium,1908,117,4.33,1106222,13.916462068226766,10070,9.217415285648144,957633
Lord of the Flies,William Golding,Classics,Paperback,182,Short,1954,71,3.7,3180042,14.972405276677517,10008,9.211239967219019,942682
Brave New World,Aldous Huxley,Classics,Paperback,288,Medium,1932,93,3.99,2064076,14.540193711089282,9892,9.199582715323222,923864
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,Science Fiction,Mass,216,Medium,1979,46,4.22,2006139,14.511723035696882,9093,9.115370134384955,876746
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,Fantasy,Hardcover,485,Long,2007,18,4.07,2158343,14.584851818954496,9115,9.117786390365575,867816
The Help,Kathryn Stockett,Fiction,Hardcover,451,Long,2009,16,4.47,3003548,14.915305147439259,9095,9.115590035430372,852941
Dracula,Bram Stoker,Classics,Paperback,488,Long,1897,128,4.02,1465337,14.197596490545845,9078,9.113719333371757,845948
Fahrenheit 451,Ray Bradbury,Classics,Kindle,194,Short,1953,72,3.97,2809289,14.848442340344583,8867,9.090204570736201,837236
Charlotte’s Web,E.B. White,Classics,Paperback,184,Short,1952,73,4.21,2033696,14.525365876942253,8997,9.104757609401117,835895
1984,George Orwell,Classics,ebook,298,Medium,1949,76,4.2,5406984,15.503202194178677,8710,9.072341873818893,818439
Of Mice and Men,John Steinbeck,Classics,Paperback,107,Short,1937,88,3.9,2814743,14.850381874035074,8775,9.079776001955066,815502
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,Science Fiction,Mass,324,Medium,1985,40,4.31,1469115,14.200171417320925,8398,9.035867930125628,804963
The Catcher in the Rye,J.D. Salinger,Classics,Paperback,277,Medium,1951,74,3.8,3871518,15.169157494455403,8550,9.053803514155955,796653
"Little Women (Little Women, #1)",Louisa May Alcott,Classics,Mass,449,Long,1868,157,4.17,2443035,14.708752086111655,8495,9.04735074348172,777397
One Hundred Years of Solitude,Gabriel García Márquez,Classics,Mass,417,Long,1967,58,4.12,1097424,13.908477084466535,8033,8.991437814919227,764823
A Thousand Splendid Suns,Khaled Hosseini,Fiction,Hardcover,372,Medium,2007,18,4.45,1723988,14.360151349674979,8042,8.99255742690407,761920
The Outsiders,S.E. Hinton,Classics,Mass,208,Medium,1967,58,4.14,1586320,14.276928056662321,8055,8.994172434398399,753550
The Secret Garden,Frances Hodgson Burnett,Classics,Hardcover,331,Medium,1911,114,4.17,1288607,14.069073123955473,7965,8.982937763741589,728660
The Princess Bride,William Goldman,Fantasy,Paperback,429,Long,1973,52,4.27,945646,13.759624628290481,7739,8.954156966583772,727246
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,Fantasy,Mass,835,Very Long,1996,29,4.45,2720575,14.816354180559083,7703,8.949494953477961,723954
The Time Traveler's Wife,Audrey Niffenegger,Fiction,ebook,537,Long,2003,22,4.0,1854436,14.433091703913872,7396,8.908829791587868,706222
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,Fantasy,Hardcover,759,Long,2007,18,4.62,4087629,15.223475897963246,7403,8.909775673693389,687480
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,Classics,Paperback,260,Medium,1818,207,3.9,1865306,14.43893620877316,7269,8.891511570527564,662091
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,Fantasy,Paperback,218,Medium,1962,63,3.97,1279216,14.061758729969549,6881,8.836664586357426,642955
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,Fiction,Paperback,311,Medium,1985,40,4.15,2399741,14.690871789539635,6949,8.846496938558838,640400
The Kite Runner,Khaled Hosseini,Fiction,Paperback,371,Medium,2003,22,4.36,3471086,15.059978359352623,6884,8.837100411162755,638116
"The Giver (The Giver, #1)",Lois Lowry,Young Adult,Paperback,208,Medium,1993,32,4.12,2789166,14.841253542909511,6873,8.835501457409778,636789
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,Fantasy,Mass,547,Long,1999,26,4.58,4802893,15.384729210863554,6773,8.820847033377717,623030
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,Fiction,Hardcover,480,Long,2005,20,4.18,3430186,15.048125336606455,6617,8.797548488481558,602423
Dune (Dune #1),Frank Herbert,Science Fiction,Hardcover,658,Long,1965,60,4.29,1615585,14.295208297122583,6281,8.745443680098592,584964
The Lovely Bones,Alice Sebold,Fiction,Mass,372,Medium,2002,23,3.86,2456827,14.714381644982913,6172,8.727940222393896,572410
"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,Classics,Paperback,327,Medium,1885,140,3.83,1334261,14.103888887972499,6255,8.741296282225147,567377
Life of Pi,Yann Martel,Fiction,Paperback,460,Long,2001,24,3.94,1747266,14.37356341086709,6024,8.703672758358856,557146
Lolita,Vladimir Nabokov,Classics,Paperback,368,Medium,1955,70,3.87,940235,13.753886186564724,5921,8.686429508661536,550338
A Tale of Two Cities,Charles Dickens,Classics,Paperback,489,Long,1859,166,3.88,1009068,13.824538681536778,6000,8.699681400989514,546684
Slaughterhouse-Five,Kurt Vonnegut Jr.,Classics,Paperback,275,Medium,1969,56,4.1,1476604,14.205256091758859,5785,8.66319648553608,536499
The Bell Jar,Sylvia Plath,Classics,Paperback,294,Medium,1963,62,4.05,1207543,14.004099102768379,5623,8.6347984334905,519097
Matilda,Roald Dahl,Fiction,Hardcover,240,Medium,1988,37,4.33,1101699,13.912364999328156,5638,8.637462023807181,511271
Water for Elephants,Sara Gruen,Fiction,Paperback,368,Medium,2006,19,4.11,1695654,14.343579654830048,5451,8.603737792816423,505285
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,Fantasy,Kindle,333,Medium,1997,28,4.47,11324147,16.24244799471524,5097,8.53660358493606,482822
The Stand,Stephen  King,Horror,Hardcover,1152,Very Long,1978,47,4.35,831082,13.630484948513,4970,8.511376306094673,460188
Catch-22,Joseph Heller,Classics,Paperback,453,Long,1961,64,3.99,884156,13.6923899276604,4968,8.51097389160232,455482
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,Classics,Paperback,389,Medium,1892,133,4.3,325136,12.692001910951037,4975,8.512381634419015,445213
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,Historical Fiction,Paperback,976,Very Long,1989,36,4.35,825943,13.624282253594652,4718,8.459352191726387,438333
Rebecca,Daphne du Maurier,Classics,Kindle,449,Long,1938,87,4.25,715090,13.48016508630493,4804,8.477412321404392,431436
"Watership Down (Watership Down, #1)",Richard  Adams,Classics,Mass,478,Long,1972,53,4.09,504470,13.131265634467514,4672,8.449556542700426,427267
The Color Purple,Alice Walker,Classics,Paperback,287,Medium,1982,43,4.28,749358,13.526973453410038,4668,8.448700194970938,414822
Great Expectations,Charles Dickens,Classics,Paperback,544,Long,1861,164,3.8,870370,13.676674836514051,4756,8.467372496432281,414777
"Outlander (Outlander, #1)",Diana Gabaldon,Historical Fiction,Mass,850,Very Long,1991,34,4.26,1148294,13.953788791491977,4390,8.387312270561717,409857
Anna Karenina,Leo Tolstoy,Classics,Paperback,964,Very Long,1878,147,4.1,925993,13.738623034125682,4415,8.392989587956931,403287
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,Fantasy,Kindle,432,Long,1954,71,4.41,3127718,14.955814542852455,4379,8.384804003370492,397062
One Flew Over the Cuckoo’s Nest,Ken Kesey,Classics,Mass,325,Medium,1962,63,4.2,777718,13.564120555399132,4428,8.395929103923198,391549
The Brothers Karamazov,Fyodor Dostoevsky,Classics,Paperback,796,Long,1880,145,4.39,383159,12.856207935496828,4159,8.333270353255308,378592
My Sister's Keeper,Jodi Picoult,Fiction,Paperback,423,Long,2004,21,4.11,1272459,14.056462592728074,4154,8.332067707289548,377642
A Clockwork Orange,Anthony Burgess,Classics,Paperback,240,Medium,1962,63,4.0,766528,13.549627810890113,4219,8.347590407030058,375454
To Kill a Mockingbird,Harper Lee,Classics,Paperback,323,Medium,1960,65,4.26,6833106,15.737290032940763,3933,8.277411998949004,362878
A Tree Grows in Brooklyn,Betty  Smith,Classics,Paperback,496,Long,1943,82,4.3,509984,13.142136592503268,3882,8.264363329731667,353218
The Road,Cormac McCarthy,Fiction,Hardcover,241,Medium,2006,19,4.0,1029517,13.844601289512772,3805,8.244334047856094,346918
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,Fantasy,Hardcover,399,Medium,1995,30,4.03,1612301,14.293173529414995,3675,8.209580483475577,330912
The Elephant Tree,R.D. Ronald,Thriller,Paperback,252,Medium,2010,15,3.9,40136,10.60005388114173,3555,8.176391596633795,330879
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,Fantasy,Hardcover,752,Long,2000,25,4.57,4165746,15.242406169242177,3651,8.20303024171486,325478
Siddhartha,Hermann Hesse,Classics,Mass,152,Short,1922,103,4.08,871143,13.677562569379706,3581,8.183676582620658,321465
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,Fantasy,Paperback,332,Medium,2007,18,4.1,679056,13.428460349998337,3436,8.142354276849835,319913
And Then There Were None,Agatha Christie,Mystery,Paperback,264,Medium,1939,86,4.27,1599290,14.285070964001113,3489,8.157657015196472,312039
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,Nonfiction,Paperback,452,Long,1996,29,4.15,656818,13.395163764838363,3473,8.153061946801051,311013
The Poisonwood Bible,Barbara Kingsolver,Fiction,Paperback,546,Long,1998,27,4.11,791012,13.58106968150728,3285,8.097426298597213,298751
The Zombie Room,R.D. Ronald,Thriller,Kindle,218,Medium,2012,13,3.92,39990,10.596409707779776,3086,8.034955024502159,287441
The Complete Stories and Poems,Edgar Allan Poe,Classics,Hardcover,821,Very Long,1849,176,4.4,295146,12.595228816293952,3268,8.092239406724211,285757
Gone Girl,Gillian Flynn,Fiction,Paperback,415,Long,2012,13,4.15,3423283,15.046110882227243,2967,7.995643604287271,268980
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,Horror,Paperback,346,Medium,1976,49,4.02,647053,13.38018503213319,3032,8.017307507688582,266984
Atlas Shrugged,Ayn Rand,Fiction,Paperback,1168,Very Long,1957,68,3.69,406229,12.91467478064498,2879,7.965545573129992,261988
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,Fiction,Hardcover,503,Long,2006,19,4.26,983117,13.798484432616757,2935,7.984803389734406,261196
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,Classics,Hardcover,161,Short,1926,99,4.38,393989,12.884080807247315,3027,8.01565761455734,258814
"The Notebook (The Notebook, #1)",Nicholas Sparks,Romance,Kindle,227,Medium,1996,29,4.16,1832225,14.421042179053106,2907,7.97522083865341,258000
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,Fantasy,Hardcover,309,Medium,1997,28,4.47,11324147,16.24244799471524,2625,7.873217054862741,240363
Fahrenheit 451,Ray Bradbury,Classics,Mass,158,Short,1953,72,3.97,2809289,14.848442340344583,2653,7.8838232148921525,239517
The Stranger,Albert Camus,Classics,Paperback,123,Short,1942,83,4.03,1383295,14.139979615222783,2658,7.88570539124302,235470
