book_name,author,genres_list,pages_format,first_published_year,rating,ratings_count,score,votes,book_url
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']","374 pages, Hardcover",2008, 4.35 avg rating,"9,825,418 ratings","score: 4,318,854","43,905 people voted",https://www.goodreads.com/book/show/2767052-the-hunger-games
Pride and Prejudice,Jane Austen,"['Classics', 'Romance', 'Fiction', 'Historical Fiction', 'Historical', 'Literature', 'Audiobook']","279 pages, Paperback",1813, 4.29 avg rating,"4,762,344 ratings","score: 2,966,459","30,399 people voted",https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
To Kill a Mockingbird,Harper Lee,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']","323 pages, Paperback",1960, 4.26 avg rating,"6,833,106 ratings","score: 2,602,221","26,573 people voted",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Harry Potter', 'Magic', 'Audiobook', 'Childrens']","896 pages, Hardcover",2003, 4.50 avg rating,"3,771,857 ratings","score: 2,080,496","21,168 people voted",https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix
The Book Thief,Markus Zusak,"['Historical Fiction', 'Fiction', 'Young Adult', 'Classics', 'Historical', 'Book Club', 'War']","592 pages, Kindle Edition",2005, 4.39 avg rating,"2,859,705 ratings","score: 1,970,739","20,242 people voted",https://www.goodreads.com/book/show/19063.The_Book_Thief
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance']","498 pages, Paperback",2005, 3.67 avg rating,"7,263,220 ratings","score: 1,760,818","17,950 people voted",https://www.goodreads.com/book/show/41865.Twilight
Animal Farm,George Orwell,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Politics', 'Literature']","141 pages, Mass Market Paperback",1945, 4.02 avg rating,"4,505,182 ratings","score: 1,715,357","17,752 people voted",https://www.goodreads.com/book/show/170448.Animal_Farm
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']","1728 pages, Mass Market Paperback",1954, 4.62 avg rating,"143,686 ratings","score: 1,654,901","17,143 people voted",https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure']","767 pages, Paperback",1956, 4.28 avg rating,"705,079 ratings","score: 1,533,474","15,973 people voted",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Fault in Our Stars,John Green,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Book Club', 'Coming Of Age']","313 pages, Hardcover",2012, 4.12 avg rating,"5,683,397 ratings","score: 1,417,114","14,665 people voted",https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
